OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
29121,MONTROSE CO,1058,WM Supercenter,Retail,16750 S TOWNSEND AVE,MONTROSE,MONTROSE,CO,81401-5410,Open,f3408c4c-48a8-4544-be7c-56e7f9d69ca4,-12007298.6519,4643059.7432
29122,FOREST MS,1059,WM Supercenter,Retail,1309 HIGHWAY 35 S,FOREST,SCOTT,MS,39074-5010,Open,68fb4202-f450-451e-af64-3ae546dc334a,-9961555.2114,3807844.6736
29127,FULTON KY,106,WM Supercenter,Retail,1405 MIDDLE RD,FULTON,FULTON,KY,42041-7905,Open,09cc81cc-bac1-4045-a71f-e27f21754225,-9896299.6146,4372008.2558
29128,MORGANTON NC,1060,WM Supercenter,Retail,G120 MORGANTON HEIGHTS BLVD,MORGANTON,BURKE,NC,28655-5210,Open,7f7c1c00-e795-477a-94a0-4d2473e1adcb,-9095373.3555,4263142.7021
29129,HAZELHURST GA,1061,WM Supercenter,Retail,136 E JARMAN ST,HAZLEHURST,JEFF DAVIS,GA,31539-6130,Open,e3e7975e-137b-427a-80d2-e1c2df1e6eb1,-9193496.6999,3745200.5394
29134,WEBSTER TX,1062,WM Supercenter,Retail,150 W EL DORADO BLVD,FRIENDSWOOD,HARRIS,TX,77546-6500,Open,7e8bc785-a54e-42d9-80ce-17e0dfe5ab30,-10593075.1354,3446075.0979
29135,GENEVA AL,1063,Wal-Mart,Retail,1608 W MAGNOLIA AVE,GENEVA,GENEVA,AL,36340-1237,Open,55d7c92b-b9f6-459b-a0fd-0d44184777c6,-9562275.3524,3639434.7884
29136,LENOIR NC,1064,WM Supercenter,Retail,935 BLOWING ROCK BLVD,LENOIR,CALDWELL,NC,28645-3785,Open,f16889ff-aa76-4ff4-aa0a-078aef50a7aa,-9075889.3276,4290790.424
29141,HOPE AR,1065,WM Supercenter,Retail,2400 N HERVEY ST,HOPE,HEMPSTEAD,AR,71801-8418,Open,d15430aa-ee08-4374-ba2d-fd368ea1dcb0,-10421135.3914,3986029.6671
29151,PASCAGOULA MS,1066,WM Supercenter,Retail,4253 DENNY AVE,PASCAGOULA,JACKSON,MS,39581-5502,Open,6c676005-8cb2-4e45-8dc4-6c2167d5545c,-9853853.6041,3553344.8368
29160,HALLETSVILLE TX,1067,Wal-Mart,Retail,1506 N TEXANA ST,HALLETTSVILLE,LAVACA,TX,77964-2036,Open,8ecd9397-5ff3-4b26-abe6-b2c177c1d570,-10791089.1325,3434139.7703
29161,SEBASTIAN FL,1068,WM Supercenter,Retail,2001 US HIGHWAY 1,SEBASTIAN,INDIAN RIVER,FL,32958-1615,Open,ebe9b213-4205-40d6-a59f-3f05fd2aa524,-8959197.3356,3227475.2118
29162,NEWTON MS,1069,WM Supercenter,Retail,231 EASTSIDE DR,NEWTON,NEWTON,MS,39345-8035,Open,3633491d-4eb1-42b7-8a08-28a90af4c825,-9923207.4279,3807876.4264
29163,MARTIN TN,107,WM Supercenter,Retail,134 COURTRIGHT RD,MARTIN,WEAKLEY,TN,38237-1606,Open,80e4e21b-444e-4116-aa27-e7b36ed2ab50,-9894487.4446,4349585.3594
29164,ELLIJAY GA,1070,WM Supercenter,Retail,88 HIGHLAND XING,EAST ELLIJAY,GILMER,GA,30540-6052,Open,00a15141-52d8-4296-8a37-adcd671a47bc,-9405184.9605,4117285.0316
29165,WOOD RIVER IL,1071,WM Supercenter,Retail,610 WESLEY DR,WOOD RIVER,MADISON,IL,62095-1894,Open,77252e15-9e40-44f9-961c-3c1ac196431a,-10026575.2562,4703140.0347
29166,TIFTON GA,1072,WM Supercenter,Retail,1830 US HIGHWAY 82 W,TIFTON,TIFT,GA,31793-8164,Open,cfb9a7a2-670b-466b-9798-8c3f32d8fc15,-9299892.7522,3690380.1367
29167,LAMPASSAS TX,1073,WM Supercenter,Retail,1710 CENTRAL TEXAS EXPY,LAMPASAS,LAMPASAS,TX,76550-3421,Open,fb4a09f9-09d7-4a72-b6eb-e8d1d63756bb,-10926999.6554,3640770.8957
29168,GRENADA MS,1074,WM Supercenter,Retail,1655 SUNSET DR,GRENADA,GRENADA,MS,38901-4061,Open,e6baf67d-9b26-48ea-bb44-18962d421e57,-10000706.4989,3999507.7795
29169,CLARKSVILLE TN,1075,WM Supercenter,Retail,1680 FORT CAMPBELL BLVD,CLARKSVILLE,MONTGOMERY,TN,37042-3537,Open,d74af67a-4ce8-4ef8-8750-1cb6dfddb09c,-9730764.5261,4380763.0405
29170,MACON GA,1076,WM Supercenter,Retail,1401 GRAY HWY,MACON,BIBB,GA,31211-1905,Open,2ff8b48d-cbd3-4c80-8156-b135e6ff77ee,-9307509.2318,3877145.6513
29171,"TALLAHASSEE, FL",1077,WM Supercenter,Retail,3535 APALACHEE PKWY,TALLAHASSEE,LEON,FL,32311-5330,Open,1d9bf959-233f-42a5-a00d-571f2ce7a469,-9374693.8841,3558359.5436
29172,BALLINGER TX,1078,Wal-Mart,Retail,2005 HUTCHINS AVE,BALLINGER,RUNNELS,TX,76821-4427,Open,a09ad17f-1312-4fae-aa6a-c689f493b451,-11127582.3497,3726670.2398
29173,NEW SMYRNA BEACH FL,1079,WM Supercenter,Retail,3155 STATE RD 44,NEW SMYRNA BEACH,VOLUSIA,FL,32168-8880,Open,9de52a7a-b980-4105-840d-03477923ce5e,-9016173.5453,3377641.5171
29174,GUTHRIE OK,108,WM Supercenter,Retail,1608 S DIVISION ST,GUTHRIE,LOGAN,OK,73044-5015,Open,3d21ca19-6fcb-4e91-bea4-f348402db4fd,-10845044.5765,4281769.9628
29175,JOHNSON CITY TN,1080,WM Supercenter,Retail,3111 BROWNS MILL RD,JOHNSON CITY,WASHINGTON,TN,37604-1418,Open,41420b9c-e5f0-4d0e-9341-23e163ee776f,-9172601.6975,4350191.9008
29177,GAINESVILLE FL,1081,WM Supercenter,Retail,2900 SW 42ND ST,GAINESVILLE,ALACHUA,FL,32608-2379,Open,cf2dc02e-4e30-4b3d-a4d4-1a0f8131b325,-9171462.4538,3455765.5564
29178,JACKSONVILLE FL,1082,WM Supercenter,Retail,10991 SAN JOSE BLVD STE 1,JACKSONVILLE,DUVAL,FL,32223-6600,Open,8e526a88-ffbb-4d1e-928d-19c506571404,-9086487.6111,3526359.6231
29180,JACKSONVILLE FL,1083,WM Supercenter,Retail,6830 NORMANDY BLVD,JACKSONVILLE,DUVAL,FL,32205-1902,Open,ebdc28da-9ddd-4cfa-8ba1-366907ee79a0,-9101301.1184,3542379.2417
29181,ORLANDO FL,1084,Wal-Mart,Retail,3838 S SEMORAN BLVD,ORLANDO,ORANGE,FL,32822-4006,Open,8401d372-d19f-4e49-935e-92a9262b2d05,-9051698.7117,3312792.8432
29182,PORT RICHEY FL,1085,WM Supercenter,Retail,8701 US HIGHWAY 19,PORT RICHEY,PASCO,FL,34668-5349,Open,7dd75c7b-01a2-47b2-b8ce-2a5d7bb8ea55,-9208180.8539,3284746.5822
